,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0021619796752929688,0.00048055569788161336,0.04477314949035645,0.006264221056442814,1,1,"{'n_neighbors': 1, 'p': 1}",0.8,0.88,0.83,0.87,0.81,0.8380000000000001,0.03187475490101844,4
1,0.002864551544189453,0.0006304399731841702,0.026305103302001955,0.0071432587334988775,1,2,"{'n_neighbors': 1, 'p': 2}",0.83,0.88,0.86,0.89,0.85,0.8619999999999999,0.02135415650406264,1
2,0.0027199268341064455,9.206482108428875e-05,0.05205092430114746,0.0075082440434873525,2,1,"{'n_neighbors': 2, 'p': 1}",0.79,0.87,0.8,0.82,0.81,0.818,0.027856776554368225,11
3,0.002605772018432617,0.00021024039606745774,0.01765451431274414,0.0013398665847950126,2,2,"{'n_neighbors': 2, 'p': 2}",0.8,0.87,0.8,0.85,0.81,0.826,0.02870540018881462,8
4,0.002425098419189453,0.00016380738251432618,0.04915742874145508,0.007783267563409604,3,1,"{'n_neighbors': 3, 'p': 1}",0.8,0.86,0.82,0.85,0.84,0.834,0.021540659228538,6
5,0.0024968624114990235,0.0002233681358281051,0.01580667495727539,0.0015719942021416714,3,2,"{'n_neighbors': 3, 'p': 2}",0.83,0.86,0.84,0.87,0.85,0.85,0.014142135623730963,2
6,0.0024042129516601562,0.00030988652353781607,0.04162282943725586,0.005346519182914561,4,1,"{'n_neighbors': 4, 'p': 1}",0.8,0.87,0.82,0.85,0.85,0.8379999999999999,0.0248193472919817,5
7,0.002428293228149414,0.00029953329888073634,0.017003583908081054,0.003446053704126819,4,2,"{'n_neighbors': 4, 'p': 2}",0.82,0.86,0.84,0.87,0.83,0.844,0.018547236990991426,3
8,0.002106475830078125,0.0004025607557080888,0.041619300842285156,0.008665524813099706,5,1,"{'n_neighbors': 5, 'p': 1}",0.77,0.84,0.81,0.85,0.84,0.8220000000000001,0.029257477676655565,10
9,0.0023298263549804688,0.0002282611557241728,0.01907958984375,0.002188380125962934,5,2,"{'n_neighbors': 5, 'p': 2}",0.8,0.82,0.82,0.87,0.83,0.828,0.023151673805580447,7
10,0.00197906494140625,0.00026058482766207707,0.046170949935913086,0.004286944910185907,6,1,"{'n_neighbors': 6, 'p': 1}",0.75,0.84,0.81,0.84,0.83,0.8139999999999998,0.03382306905057551,14
11,0.0017397880554199218,0.00037331106955440177,0.012875652313232422,0.002181004078324849,6,2,"{'n_neighbors': 6, 'p': 2}",0.79,0.84,0.82,0.85,0.83,0.826,0.02059126028197398,8
12,0.0021438121795654295,8.180424613910307e-05,0.04331159591674805,0.007245650612265156,7,1,"{'n_neighbors': 7, 'p': 1}",0.71,0.82,0.81,0.82,0.81,0.7939999999999999,0.04223742416388576,18
13,0.0020735740661621095,0.00039069190397675817,0.01818561553955078,0.004129204844086868,7,2,"{'n_neighbors': 7, 'p': 2}",0.76,0.83,0.82,0.84,0.84,0.818,0.029933259094191516,11
14,0.002221345901489258,0.0002014689755172092,0.04066567420959473,0.008229279836388654,8,1,"{'n_neighbors': 8, 'p': 1}",0.74,0.82,0.81,0.83,0.81,0.8019999999999999,0.03187475490101845,16
15,0.002352285385131836,0.0002984084272044397,0.02037806510925293,0.003029766753890427,8,2,"{'n_neighbors': 8, 'p': 2}",0.77,0.83,0.81,0.84,0.82,0.8140000000000001,0.024166091947189123,13
16,0.002442789077758789,0.00016086307721917677,0.04611878395080567,0.0022761313532734416,9,1,"{'n_neighbors': 9, 'p': 1}",0.71,0.81,0.81,0.84,0.84,0.8019999999999999,0.04791659420284376,16
17,0.0022011280059814455,0.00015996905238467593,0.015885591506958008,0.0034493601672178193,9,2,"{'n_neighbors': 9, 'p': 2}",0.73,0.84,0.81,0.83,0.83,0.808,0.040199502484483556,15
